(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
31:22:27,1657333410,2022-07-09T02:23:28,2022-07-08T20:23:30,1.993,3760.79,38.54,36.88,40.03,851.34,854.36,186.233337,15.89,0.9503,317,0,12.401,1.88875,4.15,54011,40.564725,-105.073090,1526.2,12,0.038550,0.7
31:22:57,1657333440,2022-07-09T02:23:58,2022-07-08T20:24:00,1.993,3761.79,38.52,36.83,40.01,851.37,854.44,187.083328,15.99,0.9504,317,0,12.403,1.89657,4.14,53999,40.564727,-105.073070,1525.7,12,0.011308,0.8
31:23:27,1657333470,2022-07-09T02:24:28,2022-07-08T20:24:30,1.992,3762.79,38.50,36.80,39.99,851.35,854.36,186.383331,15.71,0.9505,317,0,12.404,1.89356,4.14,53988,40.564732,-105.073069,1522.5,12,0.028784,0.7
31:23:57,1657333500,2022-07-09T02:24:58,2022-07-08T20:25:00,1.992,3763.78,38.47,36.78,39.96,851.42,854.50,183.283340,16.12,0.9506,317,0,12.403,1.89567,4.14,53976,40.564735,-105.073070,1523.2,12,0.012850,0.8
31:24:27,1657333530,2022-07-09T02:25:28,2022-07-08T20:25:30,1.991,3764.78,38.46,36.76,39.94,851.50,854.53,188.350006,15.47,0.9509,317,0,12.404,1.88995,4.14,53964,40.564729,-105.073073,1526.1,12,0.026214,0.7
31:24:57,1657333560,2022-07-09T02:25:58,2022-07-08T20:26:00,1.991,3765.77,38.43,36.72,39.90,851.49,854.46,184.466660,16.37,0.9507,317,0,12.400,1.89055,4.14,53952,40.564731,-105.073087,1523.1,12,0.004112,0.7
31:25:27,1657333590,2022-07-09T02:26:28,2022-07-08T20:26:30,1.991,3766.77,38.41,36.69,39.88,851.45,854.54,185.300003,16.50,0.9508,317,0,12.401,1.89085,4.14,53940,40.564738,-105.073090,1522.2,12,0.020046,0.7
31:25:57,1657333620,2022-07-09T02:26:58,2022-07-08T20:27:00,1.992,3767.77,38.40,36.65,39.92,851.43,854.57,185.649994,17.15,0.9507,317,0,12.401,1.89476,4.14,53928,40.564731,-105.073073,1526.1,12,0.013364,0.7
31:26:27,1657333650,2022-07-09T02:27:28,2022-07-08T20:27:30,1.991,3768.76,38.37,36.60,39.87,851.43,854.57,187.733337,16.62,0.9509,317,0,12.400,1.89537,4.14,53917,40.564728,-105.073055,1524.7,12,0.028270,0.7
31:26:57,1657333680,2022-07-09T02:27:58,2022-07-08T20:28:00,1.991,3769.76,38.35,36.60,39.79,851.40,854.55,185.649994,16.38,0.9510,317,0,12.399,1.88995,4.14,53905,40.564725,-105.073055,1527.2,12,0.041120,0.8
31:27:27,1657333710,2022-07-09T02:28:28,2022-07-08T20:28:30,1.990,3770.75,38.33,36.58,39.83,851.59,854.60,186.933334,16.64,0.9511,317,0,12.399,1.89115,4.13,53893,40.564714,-105.073074,1526.1,12,0.004112,0.8
31:27:57,1657333740,2022-07-09T02:28:58,2022-07-08T20:29:00,1.990,3771.75,38.30,36.55,39.81,851.37,854.53,187.016663,16.73,0.9511,316,0,12.397,1.89115,4.13,53881,40.564709,-105.073070,1526.7,12,0.014906,0.8
31:28:27,1657333770,2022-07-09T02:29:28,2022-07-08T20:29:30,1.992,3772.75,38.28,36.50,39.76,851.51,854.56,186.416672,16.65,0.9512,316,0,12.415,1.89567,4.13,53869,40.564714,-105.073063,1527.3,12,0.004112,0.7
31:28:57,1657333800,2022-07-09T02:29:58,2022-07-08T20:30:00,1.992,3773.74,38.25,36.47,39.76,851.51,854.56,186.633331,16.65,0.9513,316,0,12.417,1.89476,4.13,53857,40.564720,-105.073068,1530.3,12,0.050886,0.7
31:29:27,1657333830,2022-07-09T02:30:28,2022-07-08T20:30:30,1.992,3774.74,38.23,36.49,39.72,851.44,854.59,187.633331,16.37,0.9515,316,0,12.415,1.89657,4.13,53846,40.564714,-105.073067,1530.5,12,0.011822,0.8
31:29:57,1657333860,2022-07-09T02:30:58,2022-07-08T20:31:00,1.991,3775.74,38.21,36.44,39.69,851.42,854.65,186.633331,16.54,0.9515,316,0,12.413,1.89687,4.13,53834,40.564729,-105.073071,1532.0,12,0.020560,0.7
31:30:27,1657333890,2022-07-09T02:31:28,2022-07-08T20:31:30,1.991,3776.73,38.19,36.40,39.68,851.53,854.52,188.083328,16.84,0.9514,316,0,12.416,1.89085,4.13,53822,40.564739,-105.073087,1530.8,12,0.017476,0.7
31:30:57,1657333920,2022-07-09T02:31:58,2022-07-08T20:32:00,1.992,3777.73,38.16,36.36,39.67,851.55,854.71,184.199997,16.69,0.9517,316,0,12.415,1.89687,4.13,53810,40.564732,-105.073094,1530.7,12,0.047802,0.8
31:31:27,1657333950,2022-07-09T02:32:28,2022-07-08T20:32:30,1.991,3778.72,38.15,36.36,39.63,851.55,854.63,188.199997,16.45,0.9517,316,0,12.413,1.89296,4.13,53798,40.564737,-105.073085,1527.9,12,0.013878,0.8
31:31:57,1657333980,2022-07-09T02:32:58,2022-07-08T20:33:00,1.990,3779.72,38.12,36.30,39.65,851.47,854.64,186.316666,16.39,0.9519,316,0,12.415,1.89235,4.13,53786,40.564739,-105.073085,1526.6,12,0.019018,0.8
31:32:27,1657334010,2022-07-09T02:33:28,2022-07-08T20:33:30,1.990,3780.72,38.09,36.28,39.63,851.53,854.58,185.550003,17.05,0.9517,316,0,12.413,1.89657,4.12,53774,40.564722,-105.073077,1527.6,12,0.014906,0.8
31:32:57,1657334040,2022-07-09T02:33:58,2022-07-08T20:34:00,1.988,3781.71,38.07,36.25,39.59,851.48,854.67,187.516663,16.29,0.9521,315,0,12.412,1.89356,4.12,53763,40.564714,-105.073081,1526.3,12,0.008738,0.8
31:33:27,1657334070,2022-07-09T02:34:28,2022-07-08T20:34:30,1.992,3782.71,38.06,36.23,39.53,851.45,854.64,187.683334,16.75,0.9520,315,0,12.430,1.89687,4.12,53751,40.564722,-105.073075,1525.7,12,0.014906,0.8
31:33:57,1657334100,2022-07-09T02:34:58,2022-07-08T20:35:00,1.993,3783.70,38.04,36.21,39.52,851.50,854.73,188.750000,16.56,0.9522,315,0,12.433,1.89416,4.12,53739,40.564729,-105.073076,1524.7,12,0.010794,0.7
31:34:27,1657334130,2022-07-09T02:35:28,2022-07-08T20:35:30,1.992,3784.70,38.01,36.19,39.51,851.52,854.73,183.133331,16.44,0.9523,315,0,12.430,1.89778,4.12,53727,40.564733,-105.073084,1524.9,12,0.037008,0.7
31:34:57,1657334160,2022-07-09T02:35:58,2022-07-08T20:36:00,1.992,3785.69,37.99,36.14,39.48,851.48,854.76,186.233337,16.91,0.9523,315,0,12.427,1.89808,4.12,53715,40.564719,-105.073079,1526.5,12,0.027756,0.7
31:35:27,1657334190,2022-07-09T02:36:28,2022-07-08T20:36:30,1.992,3786.69,37.96,36.13,39.46,851.44,854.71,187.233337,17.11,0.9523,315,0,12.427,1.89537,4.12,53703,40.564702,-105.073070,1525.5,12,0.012336,0.7
31:35:57,1657334220,2022-07-09T02:36:58,2022-07-08T20:37:00,1.991,3787.69,37.95,36.14,39.44,851.48,854.71,187.300003,16.88,0.9524,315,0,12.428,1.89386,4.12,53691,40.564700,-105.073074,1524.7,12,0.017476,0.7
31:36:27,1657334250,2022-07-09T02:37:28,2022-07-08T20:37:30,1.992,3788.68,37.93,36.09,39.43,851.50,854.66,185.216660,17.12,0.9523,315,0,12.427,1.89657,4.12,53679,40.564709,-105.073071,1527.2,12,0.006682,0.7
31:36:57,1657334280,2022-07-09T02:37:58,2022-07-08T20:38:00,1.991,3789.68,37.91,36.10,39.42,851.60,854.74,188.433334,17.56,0.9524,315,0,12.428,1.89868,4.12,53667,40.564715,-105.073061,1529.3,12,0.017476,0.7
31:37:27,1657334310,2022-07-09T02:38:28,2022-07-08T20:38:30,1.990,3790.67,37.88,36.07,39.38,851.58,854.83,183.949997,16.27,0.9529,315,0,12.426,1.89687,4.12,53656,40.564717,-105.073066,1531.2,12,0.016962,0.8
31:37:57,1657334340,2022-07-09T02:38:58,2022-07-08T20:39:00,1.989,3791.67,37.87,36.02,39.38,851.55,854.77,186.533340,17.04,0.9527,314,0,12.428,1.89266,4.11,53644,40.564710,-105.073070,1528.1,12,0.019532,0.7
31:38:27,1657334370,2022-07-09T02:39:28,2022-07-08T20:39:30,1.994,3792.67,37.87,36.00,39.36,851.61,854.80,189.000000,17.24,0.9526,314,0,12.443,1.89717,4.11,53632,40.564725,-105.073082,1526.2,12,0.045232,0.7
31:38:57,1657334400,2022-07-09T02:39:58,2022-07-08T20:40:00,1.995,3793.66,37.83,35.96,39.37,851.53,854.73,186.416672,17.30,0.9527,314,0,12.442,1.89989,4.11,53620,40.564720,-105.073072,1528.4,12,0.010280,0.7
31:39:27,1657334430,2022-07-09T02:40:28,2022-07-08T20:40:30,1.994,3794.66,37.81,35.97,39.33,851.60,854.76,186.766663,17.32,0.9528,314,0,12.444,1.90322,4.11,53608,40.564722,-105.073076,1527.4,12,0.006682,0.7
31:39:57,1657334460,2022-07-09T02:40:58,2022-07-08T20:41:00,1.993,3795.66,37.80,35.94,39.33,851.57,854.76,184.916672,17.22,0.9528,314,0,12.443,1.89476,4.11,53596,40.564715,-105.073072,1527.6,12,0.045746,0.7
31:40:27,1657334490,2022-07-09T02:41:28,2022-07-08T20:41:30,1.992,3796.65,37.76,35.93,39.28,851.51,854.71,188.199997,17.45,0.9529,314,0,12.442,1.89597,4.11,53584,40.564708,-105.073073,1527.1,12,0.011822,0.7
31:40:57,1657334520,2022-07-09T02:41:58,2022-07-08T20:42:00,1.992,3797.65,37.75,35.90,39.26,851.50,854.71,187.149994,16.94,0.9530,314,0,12.441,1.89657,4.11,53572,40.564715,-105.073079,1523.0,12,0.019018,0.7
31:41:27,1657334550,2022-07-09T02:42:28,2022-07-08T20:42:30,1.991,3798.64,37.73,35.85,39.24,851.44,854.76,187.550003,17.15,0.9531,314,0,12.442,1.89959,4.11,53560,40.564706,-105.073079,1524.4,12,0.002056,0.7
31:41:57,1657334580,2022-07-09T02:42:58,2022-07-08T20:43:00,1.991,3799.64,37.71,35.83,39.22,851.56,854.74,186.850006,17.19,0.9531,314,0,12.442,1.89808,4.11,53548,40.564711,-105.073078,1527.1,12,0.024158,0.7
31:42:27,1657334610,2022-07-09T02:43:28,2022-07-08T20:43:30,1.991,3800.64,37.69,35.83,39.20,851.57,854.77,186.383331,17.03,0.9533,314,0,12.441,1.89687,4.11,53536,40.564726,-105.073082,1525.8,12,0.058596,0.7
31:42:57,1657334640,2022-07-09T02:43:58,2022-07-08T20:44:00,1.991,3801.63,37.66,35.79,39.17,851.60,854.77,187.399994,17.20,0.9533,314,0,12.440,1.90140,4.11,53524,40.564729,-105.073082,1525.8,12,0.005654,0.7
31:43:27,1657334670,2022-07-09T02:44:28,2022-07-08T20:44:30,1.990,3802.63,37.66,35.79,39.15,851.68,854.72,186.899994,16.95,0.9533,314,0,12.440,1.89838,4.10,53512,40.564733,-105.073075,1526.5,12,0.017476,0.7
31:43:57,1657334700,2022-07-09T02:44:58,2022-07-08T20:45:00,1.990,3803.62,37.63,35.78,39.12,851.55,854.81,187.750000,17.32,0.9534,314,0,12.440,1.89868,4.10,53501,40.564719,-105.073068,1525.8,12,0.025186,0.7
31:44:27,1657334730,2022-07-09T02:45:28,2022-07-08T20:45:30,1.990,3804.62,37.60,35.74,39.10,851.42,854.78,186.033340,17.29,0.9535,314,0,12.437,1.89929,4.10,53489,40.564718,-105.073059,1525.9,12,0.018504,0.7
31:44:57,1657334760,2022-07-09T02:45:58,2022-07-08T20:46:00,1.990,3805.62,37.58,35.75,39.08,851.44,854.81,185.833328,17.55,0.9535,314,0,12.439,1.89748,4.10,53477,40.564712,-105.073060,1528.3,12,0.009252,0.7
31:45:27,1657334790,2022-07-09T02:46:28,2022-07-08T20:46:30,1.989,3806.61,37.57,35.72,39.09,851.56,854.76,186.649994,17.47,0.9535,313,0,12.440,1.89416,4.10,53465,40.564707,-105.073060,1526.5,12,0.009766,0.7
31:45:57,1657334820,2022-07-09T02:46:58,2022-07-08T20:47:00,1.993,3807.61,37.55,35.66,39.02,851.42,854.71,188.250000,17.25,0.9536,313,0,12.458,1.90352,4.10,53453,40.564715,-105.073061,1525.8,12,0.010280,0.6
31:46:27,1657334850,2022-07-09T02:47:28,2022-07-08T20:47:30,1.993,3808.60,37.51,35.68,39.03,851.51,854.71,184.883331,17.55,0.9537,313,0,12.455,1.89899,4.10,53441,40.564721,-105.073053,1526.2,12,0.025186,0.6
31:46:57,1657334880,2022-07-09T02:47:58,2022-07-08T20:48:00,1.993,3809.60,37.49,35.63,39.01,851.47,854.80,186.533340,17.56,0.9538,313,0,12.457,1.90170,4.10,53429,40.564715,-105.073057,1528.5,12,0.011822,0.7
31:47:27,1657334910,2022-07-09T02:48:28,2022-07-08T20:48:30,1.992,3810.60,37.47,35.60,38.98,851.42,854.72,186.766663,17.64,0.9538,313,0,12.456,1.89959,4.10,53417,40.564716,-105.073060,1527.1,12,0.054998,0.6
31:47:57,1657334940,2022-07-09T02:48:58,2022-07-08T20:49:00,1.992,3811.59,37.46,35.59,38.95,851.56,854.80,188.050003,17.76,0.9539,313,0,12.458,1.89838,4.10,53405,40.564707,-105.073063,1527.2,12,0.009252,0.7
31:48:27,1657334970,2022-07-09T02:49:28,2022-07-08T20:49:30,1.991,3812.59,37.42,35.59,38.94,851.42,854.73,186.783340,17.82,0.9539,313,0,12.454,1.89868,4.10,53393,40.564698,-105.073058,1526.3,12,0.019018,0.7
31:48:57,1657335000,2022-07-09T02:49:58,2022-07-08T20:50:00,1.992,3813.59,37.40,35.54,38.92,851.53,854.65,184.833328,17.87,0.9539,313,0,12.455,1.89808,4.10,53381,40.564696,-105.073043,1527.0,12,0.030326,0.6
31:49:27,1657335030,2022-07-09T02:50:28,2022-07-08T20:50:30,1.991,3814.58,37.38,35.53,38.89,851.47,854.76,185.833328,16.83,0.9543,313,0,12.453,1.89476,4.09,53369,40.564698,-105.073036,1524.1,12,0.020560,0.7
31:49:57,1657335060,2022-07-09T02:50:58,2022-07-08T20:51:00,1.991,3815.58,37.36,35.52,38.89,851.52,854.76,186.583328,17.41,0.9542,313,0,12.452,1.89959,4.09,53357,40.564696,-105.073026,1522.1,12,0.019018,0.7
31:50:27,1657335090,2022-07-09T02:51:28,2022-07-08T20:51:30,1.989,3816.57,37.34,35.65,38.84,851.50,854.54,188.649994,17.92,0.9539,313,0,12.473,1.89838,4.19,53367,40.564687,-105.073028,1522.7,12,0.022102,0.6
31:50:57,1657335120,2022-07-09T02:51:58,2022-07-08T20:52:00,1.991,3817.57,37.32,36.35,38.85,851.48,853.48,186.633331,17.61,0.9529,313,0,12.481,1.90382,4.20,53416,40.564690,-105.073033,1522.5,12,0.017990,0.6
31:51:27,1657335150,2022-07-09T02:52:28,2022-07-08T20:52:30,1.997,3818.57,37.36,37.04,38.83,851.52,852.53,187.383331,17.08,0.9518,313,0,12.490,1.90503,4.20,53462,40.564692,-105.073026,1521.5,12,0.028270,0.7
31:51:57,1657335180,2022-07-09T02:52:58,2022-07-08T20:53:00,2.002,3819.57,37.40,37.58,38.87,851.42,851.81,188.383331,17.13,0.9509,313,0,12.499,1.90533,4.20,53505,40.564694,-105.073027,1520.0,12,0.005140,0.7
31:52:27,1657335210,2022-07-09T02:53:28,2022-07-08T20:53:30,2.006,3820.57,37.45,38.01,38.92,851.50,851.26,188.016663,16.97,0.9501,313,0,12.503,1.90836,4.20,53546,40.564708,-105.073021,1518.6,12,0.035466,0.6
31:52:57,1657335240,2022-07-09T02:53:58,2022-07-08T20:54:00,2.009,3821.58,37.50,38.29,38.97,851.43,850.89,185.533340,17.42,0.9494,313,0,12.506,1.90957,4.20,53585,40.564711,-105.073027,1520.4,12,0.020560,0.7
31:53:27,1657335270,2022-07-09T02:54:28,2022-07-08T20:54:30,2.012,3822.58,37.53,38.54,38.99,851.51,850.67,188.116669,17.49,0.9491,314,0,12.509,1.91413,4.20,53622,40.564706,-105.073040,1524.7,12,0.017990,0.7
31:53:57,1657335300,2022-07-09T02:54:58,2022-07-08T20:55:00,2.011,3823.58,37.57,38.72,39.05,851.42,850.58,188.766663,17.45,0.9489,315,0,12.494,1.90836,4.20,53658,40.564710,-105.073056,1526.8,12,0.005654,0.7
31:54:27,1657335330,2022-07-09T02:55:28,2022-07-08T20:55:30,2.007,3824.59,37.59,38.84,39.08,851.50,850.39,187.699997,17.26,0.9486,315,0,12.478,1.90352,4.20,53691,40.564696,-105.073062,1528.4,12,0.017990,0.7
31:54:57,1657335360,2022-07-09T02:55:58,2022-07-08T20:56:00,2.007,3825.59,37.63,38.95,39.12,851.47,850.17,188.066666,16.90,0.9483,315,0,12.478,1.90685,4.20,53723,40.564691,-105.073047,1528.1,12,0.028784,0.7
31:55:27,1657335390,2022-07-09T02:56:28,2022-07-08T20:56:30,2.009,3826.59,37.65,38.99,39.15,851.41,850.25,190.100006,17.09,0.9483,315,0,12.476,1.90352,4.20,53754,40.564711,-105.073053,1529.3,12,0.039064,0.6
31:55:57,1657335420,2022-07-09T02:56:58,2022-07-08T20:57:00,2.010,3827.60,37.67,39.01,39.18,851.45,850.27,189.766663,17.28,0.9482,315,0,12.476,1.90412,4.20,53783,40.564723,-105.073069,1530.4,12,0.008224,0.7
31:56:27,1657335450,2022-07-09T02:57:28,2022-07-08T20:57:30,2.009,3828.60,37.68,39.05,39.17,851.45,850.21,187.850006,17.25,0.9481,315,0,12.478,1.90685,4.20,53810,40.564713,-105.073061,1530.0,12,0.048830,0.7
31:56:57,1657335480,2022-07-09T02:57:58,2022-07-08T20:58:00,2.008,3829.61,37.68,38.99,39.17,851.42,850.13,190.066666,17.25,0.9480,315,0,12.477,1.90291,4.20,53837,40.564703,-105.073067,1528.3,12,0.030840,0.7
31:57:27,1657335510,2022-07-09T02:58:28,2022-07-08T20:58:30,2.008,3830.61,37.68,38.96,39.20,851.57,850.30,189.733337,17.19,0.9482,315,0,12.475,1.90806,4.20,53861,40.564708,-105.073074,1530.2,12,0.009252,0.7
31:57:57,1657335540,2022-07-09T02:58:58,2022-07-08T20:59:00,2.008,3831.61,37.68,38.91,39.19,851.45,850.27,186.433334,17.16,0.9482,315,0,12.475,1.90866,4.20,53885,40.564708,-105.073077,1528.7,12,0.026728,0.6
31:58:27,1657335570,2022-07-09T02:59:28,2022-07-08T20:59:30,2.008,3832.62,37.66,38.88,39.16,851.53,850.43,187.366669,17.04,0.9485,315,0,12.474,1.90806,4.20,53908,40.564711,-105.073071,1529.0,12,0.010794,0.7
31:58:57,1657335600,2022-07-09T02:59:58,2022-07-08T21:00:00,2.007,3833.62,37.66,38.81,39.15,851.49,850.71,187.250000,17.16,0.9488,315,0,12.474,1.90322,4.20,53929,40.564707,-105.073078,1527.8,12,0.008738,0.7
31:59:27,1657335630,2022-07-09T03:00:28,2022-07-08T21:00:30,2.005,3834.62,37.65,38.72,39.16,851.58,850.66,186.600006,16.42,0.9490,315,0,12.470,1.90231,4.20,53949,40.564713,-105.073086,1526.6,12,0.013364,0.7
31:59:57,1657335660,2022-07-09T03:00:58,2022-07-08T21:01:00,2.005,3835.63,37.63,38.64,39.15,851.55,850.77,186.699997,16.79,0.9490,315,0,12.467,1.90291,4.20,53968,40.564710,-105.073078,1525.4,12,0.004112,0.7
32:00:27,1657335690,2022-07-09T03:01:28,2022-07-08T21:01:30,2.004,3836.63,37.63,38.57,39.12,851.58,850.91,186.550003,16.33,0.9493,315,0,12.466,1.89838,4.20,53986,40.564705,-105.073072,1526.8,12,0.042148,0.7
32:00:57,1657335720,2022-07-09T03:01:58,2022-07-08T21:02:00,2.004,3837.63,37.61,38.43,39.13,851.52,850.99,186.183334,16.83,0.9494,315,0,12.463,1.90110,4.20,54004,40.564711,-105.073066,1528.7,12,0.009766,0.7
32:01:27,1657335750,2022-07-09T03:02:28,2022-07-08T21:02:30,2.003,3838.64,37.60,38.39,39.08,851.56,851.16,187.433334,16.41,0.9497,315,0,12.464,1.90201,4.20,54020,40.564712,-105.073050,1530.7,12,0.019018,0.7
32:01:57,1657335780,2022-07-09T03:02:58,2022-07-08T21:03:00,2.002,3839.64,37.59,38.24,39.07,851.52,851.29,186.183334,16.73,0.9498,315,0,12.464,1.90291,4.20,54036,40.564719,-105.073046,1526.0,12,0.042662,0.7
32:02:27,1657335810,2022-07-09T03:03:28,2022-07-08T21:03:30,2.001,3840.64,37.56,38.18,39.07,851.56,851.38,188.550003,16.37,0.9501,315,0,12.463,1.90473,4.20,54050,40.564713,-105.073052,1528.0,12,0.040606,0.7
32:02:57,1657335840,2022-07-09T03:03:58,2022-07-08T21:04:00,2.001,3841.64,37.54,38.06,39.06,851.60,851.44,185.966660,16.47,0.9502,315,0,12.461,1.89989,4.20,54064,40.564712,-105.073052,1528.0,12,0.039064,0.7
32:03:27,1657335870,2022-07-09T03:04:28,2022-07-08T21:04:30,2.000,3842.64,37.53,37.97,39.04,851.63,851.52,187.266663,16.56,0.9503,315,0,12.460,1.89899,4.20,54077,40.564716,-105.073060,1528.3,12,0.016962,0.7
32:03:57,1657335900,2022-07-09T03:04:58,2022-07-08T21:05:00,2.000,3843.64,37.51,37.90,38.99,851.66,851.66,188.300003,16.59,0.9505,315,0,12.458,1.90352,4.20,54090,40.564716,-105.073061,1526.0,12,0.030326,0.7
32:04:27,1657335930,2022-07-09T03:05:28,2022-07-08T21:05:30,1.998,3844.64,37.50,37.81,39.00,851.50,851.80,185.699997,16.53,0.9507,315,0,12.455,1.89808,4.20,54102,40.564704,-105.073048,1525.4,12,0.026214,0.7
32:04:57,1657335960,2022-07-09T03:05:58,2022-07-08T21:06:00,1.998,3845.64,37.48,37.71,38.99,851.67,851.86,186.366669,16.43,0.9509,315,0,12.454,1.90291,4.20,54113,40.564706,-105.073058,1525.4,12,0.023644,0.7
32:05:27,1657335990,2022-07-09T03:06:28,2022-07-08T21:06:30,1.997,3846.63,37.46,37.63,38.94,851.72,851.99,184.100006,16.52,0.9511,315,0,12.454,1.89657,4.20,54124,40.564713,-105.073067,1525.2,12,0.015934,0.7
32:05:57,1657336020,2022-07-09T03:06:58,2022-07-08T21:07:00,1.997,3847.63,37.44,37.56,38.94,851.53,851.92,186.383331,16.43,0.9511,315,0,12.451,1.90019,4.20,54134,40.564716,-105.073071,1527.6,12,0.017990,0.7
32:06:27,1657336050,2022-07-09T03:07:28,2022-07-08T21:07:30,1.996,3848.63,37.43,37.47,38.92,851.59,852.25,187.850006,16.73,0.9514,315,0,12.447,1.89657,4.20,54144,40.564700,-105.073069,1527.3,12,0.011822,0.7
32:06:57,1657336080,2022-07-09T03:07:58,2022-07-08T21:08:00,1.996,3849.63,37.40,37.39,38.90,851.57,852.25,189.649994,16.76,0.9515,315,0,12.449,1.90110,4.20,54153,40.564695,-105.073061,1527.6,12,0.005654,0.7
32:07:27,1657336110,2022-07-09T03:08:28,2022-07-08T21:08:30,1.995,3850.62,37.39,37.28,38.86,851.55,852.35,186.566666,16.79,0.9516,315,0,12.449,1.89687,4.20,54161,40.564698,-105.073059,1528.1,12,0.001028,0.7
32:07:57,1657336140,2022-07-09T03:08:58,2022-07-08T21:09:00,1.995,3851.62,37.36,37.25,38.86,851.58,852.43,184.250000,16.90,0.9518,315,0,12.447,1.90201,4.20,54170,40.564695,-105.073053,1528.7,12,0.016448,0.7
32:08:27,1657336170,2022-07-09T03:09:28,2022-07-08T21:09:30,1.993,3852.61,37.35,37.20,38.84,851.50,852.45,186.116669,16.87,0.9518,315,0,12.449,1.89959,4.20,54177,40.564695,-105.073056,1531.9,12,0.062194,0.7
32:08:57,1657336200,2022-07-09T03:09:58,2022-07-08T21:10:00,1.993,3853.61,37.33,37.10,38.79,851.59,852.59,183.816666,16.95,0.9520,315,0,12.444,1.89838,4.20,54185,40.564712,-105.073064,1529.6,12,0.014906,0.7
32:09:27,1657336230,2022-07-09T03:10:28,2022-07-08T21:10:30,1.992,3854.61,37.31,37.06,38.79,851.57,852.62,185.966660,17.03,0.9521,315,0,12.445,1.89506,4.20,54192,40.564704,-105.073053,1529.1,12,0.006682,0.7
32:09:57,1657336260,2022-07-09T03:10:58,2022-07-08T21:11:00,1.992,3855.60,37.29,36.96,38.76,851.71,852.68,185.033340,17.01,0.9523,315,0,12.443,1.89627,4.20,54198,40.564691,-105.073051,1526.2,12,0.016962,0.7
32:10:27,1657336290,2022-07-09T03:11:28,2022-07-08T21:11:30,1.992,3856.60,37.28,36.89,38.77,851.68,852.82,187.083328,17.23,0.9524,315,0,12.441,1.90050,4.20,54205,40.564699,-105.073056,1526.4,12,0.014392,0.7
32:10:57,1657336320,2022-07-09T03:11:58,2022-07-08T21:12:00,1.992,3857.60,37.23,36.84,38.69,851.61,852.85,186.516663,16.82,0.9527,315,0,12.442,1.89235,4.20,54211,40.564705,-105.073057,1530.2,12,0.013878,0.7
32:11:27,1657336350,2022-07-09T03:12:28,2022-07-08T21:12:30,1.991,3858.59,37.23,36.80,38.69,851.64,852.83,185.866669,17.31,0.9525,315,0,12.441,1.89386,4.20,54216,40.564702,-105.073062,1531.7,12,0.034952,0.7
32:11:57,1657336380,2022-07-09T03:12:58,2022-07-08T21:13:00,1.990,3859.59,37.21,36.72,38.67,851.64,852.91,187.266663,17.32,0.9527,315,0,12.439,1.89356,4.20,54222,40.564703,-105.073054,1531.4,12,0.029298,0.7
32:12:27,1657336410,2022-07-09T03:13:28,2022-07-08T21:13:30,1.991,3860.58,37.18,36.69,38.67,851.65,853.03,185.300003,17.49,0.9529,315,0,12.439,1.89687,4.20,54227,40.564713,-105.073072,1526.1,12,0.074016,0.7
32:12:57,1657336440,2022-07-09T03:13:58,2022-07-08T21:14:00,1.990,3861.58,37.16,36.63,38.63,851.65,853.09,185.250000,17.39,0.9530,314,0,12.439,1.89567,4.20,54232,40.564705,-105.073067,1527.7,12,0.037522,0.7
32:13:27,1657336470,2022-07-09T03:14:28,2022-07-08T21:14:30,1.993,3862.58,37.14,36.58,38.63,851.68,853.09,188.149994,17.56,0.9531,314,0,12.454,1.90019,4.20,54237,40.564708,-105.073058,1529.3,12,0.022102,0.7
32:13:57,1657336500,2022-07-09T03:14:58,2022-07-08T21:15:00,1.993,3863.57,37.12,36.48,38.60,851.60,853.28,186.066666,17.53,0.9534,314,0,12.451,1.90261,4.17,54231,40.564696,-105.073041,1530.6,12,0.023644,0.7
32:14:27,1657336530,2022-07-09T03:15:28,2022-07-08T21:15:30,1.992,3864.57,37.10,36.34,38.58,851.69,853.40,188.600006,17.47,0.9536,314,0,12.450,1.90110,4.17,54219,40.564685,-105.073038,1530.1,12,0.018504,0.7
32:14:57,1657336560,2022-07-09T03:15:58,2022-07-08T21:16:00,1.990,3865.56,37.06,36.18,38.55,851.59,853.48,182.833328,16.79,0.9540,313,0,12.443,1.89627,4.17,54207,40.564683,-105.073044,1530.3,12,0.009766,0.7
32:15:27,1657336590,2022-07-09T03:16:28,2022-07-08T21:16:30,1.992,3866.56,37.02,36.00,38.52,851.68,853.68,187.183334,17.10,0.9543,313,0,12.461,1.90110,4.16,54195,40.564704,-105.073051,1529.4,12,0.019532,0.7
