(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
0:07:27,1657220910,2022-07-07T19:08:30,2022-07-07T13:08:30,1.994,14.91,38.91,39.75,40.63,849.10,848.46,182.683334,20.39,0.9412,325,0,12.313,1.87258,4.20,54050,40.564736,-105.073061,1526.8,12,0.034438,0.7
0:07:57,1657220940,2022-07-07T19:09:00,2022-07-07T13:09:00,1.992,15.90,38.91,39.72,40.62,849.13,848.48,183.716660,20.08,0.9413,325,0,12.312,1.87437,4.20,54057,40.564722,-105.073049,1528.2,12,0.013878,0.7
0:08:27,1657220970,2022-07-07T19:09:30,2022-07-07T13:09:30,1.993,16.90,38.90,39.69,40.60,849.25,848.59,185.050003,19.96,0.9415,325,0,12.312,1.87378,4.20,54063,40.564712,-105.073042,1530.5,12,0.015420,0.7
0:08:57,1657221000,2022-07-07T19:10:00,2022-07-07T13:10:00,1.993,17.90,38.88,39.65,40.62,849.14,848.62,182.649994,19.61,0.9417,325,0,12.309,1.87856,4.20,54069,40.564724,-105.073058,1525.8,12,0.044718,0.7
0:09:27,1657221030,2022-07-07T19:10:30,2022-07-07T13:10:30,1.992,18.89,38.89,39.60,40.61,849.11,848.71,185.566666,19.47,0.9418,325,0,12.310,1.87736,4.20,54075,40.564736,-105.073078,1525.7,12,0.007196,0.7
0:09:57,1657221060,2022-07-07T19:11:00,2022-07-07T13:11:00,1.992,19.89,38.86,39.58,40.62,849.23,848.71,183.750000,19.77,0.9418,325,0,12.307,1.87139,4.20,54081,40.564744,-105.073080,1526.2,12,0.011822,0.8
0:10:27,1657221090,2022-07-07T19:11:30,2022-07-07T13:11:30,1.990,20.88,38.84,39.51,40.60,849.20,848.82,185.016663,19.81,0.9420,325,0,12.310,1.87318,4.20,54086,40.564760,-105.073071,1525.5,12,0.049344,0.8
0:10:57,1657221120,2022-07-07T19:12:00,2022-07-07T13:12:00,1.991,21.88,38.82,39.48,40.59,849.18,848.82,183.149994,19.69,0.9421,325,0,12.307,1.87706,4.20,54091,40.564764,-105.073074,1524.2,12,0.008224,0.8
0:11:27,1657221150,2022-07-07T19:12:30,2022-07-07T13:12:30,1.991,22.88,38.81,39.45,40.55,849.40,848.93,185.583328,19.91,0.9422,325,0,12.309,1.87467,4.20,54096,40.564755,-105.073064,1523.4,12,0.028270,0.7
0:11:57,1657221180,2022-07-07T19:13:00,2022-07-07T13:13:00,1.990,23.87,38.79,39.41,40.54,849.21,849.07,184.949997,20.06,0.9424,324,0,12.306,1.87258,4.20,54101,40.564753,-105.073062,1523.0,12,0.031868,0.8
0:12:27,1657221210,2022-07-07T19:13:30,2022-07-07T13:13:30,1.993,24.87,38.77,39.31,40.54,849.33,849.04,182.100006,19.76,0.9425,324,0,12.317,1.88454,4.17,54093,40.564756,-105.073067,1523.5,12,0.017990,0.7
0:12:57,1657221240,2022-07-07T19:14:00,2022-07-07T13:14:00,1.992,25.86,38.75,39.15,40.51,849.31,849.32,186.233337,19.48,0.9430,324,0,12.317,1.88005,4.17,54081,40.564754,-105.073061,1524.4,12,0.008738,0.7
0:13:27,1657221270,2022-07-07T19:14:30,2022-07-07T13:14:30,1.990,26.86,38.73,39.01,40.47,849.34,849.57,185.516663,19.57,0.9433,323,0,12.314,1.87527,4.16,54069,40.564739,-105.073048,1527.2,12,0.020046,0.7
0:13:57,1657221300,2022-07-07T19:15:00,2022-07-07T13:15:00,1.992,27.85,38.70,38.84,40.48,849.43,849.75,183.166672,19.91,0.9435,323,0,12.329,1.87766,4.16,54057,40.564729,-105.073038,1528.6,12,0.043176,0.7
0:14:27,1657221330,2022-07-07T19:15:30,2022-07-07T13:15:30,1.992,28.85,38.68,38.73,40.44,849.51,849.91,184.716660,19.46,0.9438,323,0,12.328,1.88215,4.16,54046,40.564711,-105.073020,1529.6,12,0.014906,0.7
0:14:57,1657221360,2022-07-07T19:16:00,2022-07-07T13:16:00,1.990,29.84,38.63,38.62,40.43,849.49,850.11,185.266663,19.29,0.9443,322,0,12.325,1.87676,4.16,54034,40.564703,-105.073035,1527.4,12,0.028270,0.7
0:15:27,1657221390,2022-07-07T19:16:30,2022-07-07T13:16:30,1.991,30.84,38.60,38.51,40.38,849.53,850.14,183.733337,18.11,0.9448,322,0,12.340,1.87407,4.16,54022,40.564722,-105.073056,1524.5,12,0.085838,0.7
