(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
38:41:45,1657359780,2022-07-09T09:42:57,2022-07-09T03:43:00,1.990,4639.95,28.55,26.53,30.08,851.18,856.04,183.000000,33.02,0.9828,256,0,13.265,1.95921,4.10,52978,40.564696,-105.072953,1532.2,12,0.020046,0.8
38:42:15,1657359810,2022-07-09T09:43:27,2022-07-09T03:43:30,1.989,4640.95,28.54,26.49,30.07,851.26,856.11,184.050003,33.14,0.9829,255,0,13.263,1.95428,4.10,52966,40.564661,-105.072938,1538.7,12,0.015934,0.8
38:42:45,1657359840,2022-07-09T09:43:57,2022-07-09T03:44:00,1.994,4641.95,28.53,26.48,30.08,851.23,855.96,184.000000,32.98,0.9828,255,0,13.288,1.95731,4.10,52953,40.564652,-105.072937,1539.7,12,0.066306,0.9
38:43:15,1657359870,2022-07-09T09:44:27,2022-07-09T03:44:30,1.994,4642.94,28.52,26.47,30.06,851.27,856.07,186.649994,33.19,0.9829,255,0,13.286,1.95883,4.10,52941,40.564684,-105.072966,1535.6,12,0.069904,0.8
38:43:45,1657359900,2022-07-09T09:44:57,2022-07-09T03:45:00,1.994,4643.94,28.52,26.47,30.05,851.21,855.91,188.350006,33.11,0.9828,255,0,13.287,1.96073,4.10,52929,40.564679,-105.072993,1534.2,12,0.056540,0.8
38:44:15,1657359930,2022-07-09T09:45:27,2022-07-09T03:45:30,1.993,4644.93,28.51,26.44,30.02,851.10,856.07,185.699997,33.09,0.9830,255,0,13.286,1.96111,4.10,52917,40.564702,-105.072969,1529.2,12,0.059110,0.9
38:44:45,1657359960,2022-07-09T09:45:57,2022-07-09T03:46:00,1.993,4645.93,28.50,26.46,30.01,851.16,856.10,184.699997,33.23,0.9830,255,0,13.287,1.96073,4.10,52904,40.564693,-105.072991,1531.4,12,0.061680,0.8
38:45:15,1657359990,2022-07-09T09:46:27,2022-07-09T03:46:30,1.993,4646.93,28.48,26.42,30.02,851.17,856.13,184.500000,33.16,0.9832,255,0,13.287,1.95845,4.10,52892,40.564698,-105.073001,1532.8,12,0.033924,0.8
38:45:45,1657360020,2022-07-09T09:46:57,2022-07-09T03:47:00,1.993,4647.92,28.48,26.40,30.02,851.25,856.02,184.449997,33.20,0.9830,255,0,13.286,1.96035,4.10,52880,40.564722,-105.073004,1526.1,12,0.052942,0.8
38:46:15,1657360050,2022-07-09T09:47:27,2022-07-09T03:47:30,1.992,4648.92,28.46,26.41,29.99,851.17,856.05,184.149994,33.14,0.9831,255,0,13.287,1.95617,4.10,52867,40.564701,-105.072997,1528.3,12,0.108968,0.8
38:46:45,1657360080,2022-07-09T09:47:57,2022-07-09T03:48:00,1.993,4649.91,28.45,26.40,29.99,851.19,856.06,185.600006,33.18,0.9832,255,0,13.286,1.95845,4.10,52855,40.564672,-105.072979,1535.5,12,0.008224,0.8
38:47:15,1657360110,2022-07-09T09:48:27,2022-07-09T03:48:30,1.992,4650.91,28.45,26.39,29.97,851.09,856.00,183.500000,33.18,0.9831,255,0,13.287,1.96073,4.10,52843,40.564660,-105.072979,1538.7,12,0.043176,0.8
38:47:45,1657360140,2022-07-09T09:48:57,2022-07-09T03:49:00,1.992,4651.91,28.43,26.41,29.98,851.22,856.08,186.449997,33.35,0.9833,255,0,13.285,1.95655,4.09,52830,40.564671,-105.072985,1539.1,12,0.042662,0.8
38:48:15,1657360170,2022-07-09T09:49:27,2022-07-09T03:49:30,1.992,4652.90,28.41,26.37,29.92,851.28,855.99,182.850006,33.23,0.9832,255,0,13.285,1.95959,4.09,52818,40.564691,-105.072995,1532.7,12,0.065278,0.8
38:48:45,1657360200,2022-07-09T09:49:57,2022-07-09T03:50:00,1.992,4653.90,28.41,26.38,29.97,851.28,856.01,185.750000,33.36,0.9832,255,0,13.286,1.96111,4.09,52806,40.564691,-105.072975,1530.6,12,0.069390,0.8
38:49:15,1657360230,2022-07-09T09:50:27,2022-07-09T03:50:30,1.991,4654.89,28.41,26.35,29.90,851.23,856.12,183.449997,33.27,0.9834,255,0,13.285,1.95693,4.09,52793,40.564655,-105.072941,1542.3,12,0.060652,0.8
38:49:45,1657360260,2022-07-09T09:50:57,2022-07-09T03:51:00,1.991,4655.89,28.39,26.35,29.92,851.23,855.96,186.350006,33.30,0.9833,255,0,13.286,1.95959,4.09,52781,40.564654,-105.072938,1542.5,12,0.023644,0.8
38:50:15,1657360290,2022-07-09T09:51:27,2022-07-09T03:51:30,1.991,4656.89,28.38,26.33,29.91,851.31,856.07,182.649994,33.49,0.9834,255,0,13.285,1.96073,4.09,52769,40.564657,-105.072952,1541.3,12,0.017990,0.7
38:50:45,1657360320,2022-07-09T09:51:57,2022-07-09T03:52:00,1.990,4657.88,28.37,26.35,29.93,851.23,856.07,186.350006,33.64,0.9834,255,0,13.284,1.95390,4.09,52757,40.564656,-105.072959,1540.4,12,0.019018,0.8
38:51:15,1657360350,2022-07-09T09:52:27,2022-07-09T03:52:30,1.989,4658.88,28.36,26.63,29.90,851.21,855.60,186.250000,33.80,0.9829,255,0,13.298,1.95807,4.19,52786,40.564655,-105.072970,1538.2,12,0.081726,0.7
38:51:45,1657360380,2022-07-09T09:52:57,2022-07-09T03:53:00,1.993,4659.88,28.36,27.02,29.89,851.32,855.04,184.399994,33.66,0.9822,255,0,13.306,1.96111,4.19,52816,40.564664,-105.072991,1537.8,12,0.032382,0.7
38:52:15,1657360410,2022-07-09T09:53:27,2022-07-09T03:53:30,1.996,4660.87,28.38,27.34,29.91,851.29,854.70,189.300003,33.76,0.9818,255,0,13.312,1.96415,4.19,52843,40.564672,-105.072981,1544.0,12,0.032896,0.7
38:52:45,1657360440,2022-07-09T09:53:57,2022-07-09T03:54:00,1.999,4661.87,28.39,27.61,29.92,851.23,854.41,188.550003,33.46,0.9814,255,0,13.315,1.96149,4.19,52869,40.564674,-105.072975,1541.5,12,0.012850,0.7
38:53:15,1657360470,2022-07-09T09:54:27,2022-07-09T03:54:30,2.001,4662.86,28.42,27.80,29.98,851.31,854.19,184.800003,33.54,0.9811,255,0,13.317,1.96111,4.19,52894,40.564678,-105.072975,1540.7,12,0.012850,0.7
38:53:45,1657360500,2022-07-09T09:54:57,2022-07-09T03:55:00,2.002,4663.86,28.43,27.98,29.95,851.33,853.90,183.000000,33.55,0.9807,255,0,13.318,1.96339,4.19,52919,40.564665,-105.072964,1540.6,12,0.025700,0.7
38:54:15,1657360530,2022-07-09T09:55:27,2022-07-09T03:55:30,2.004,4664.86,28.45,28.11,30.00,851.36,853.79,186.399994,33.57,0.9805,255,0,13.319,1.96529,4.19,52942,40.564666,-105.072967,1534.0,12,0.023644,0.7
38:54:45,1657360560,2022-07-09T09:55:57,2022-07-09T03:56:00,2.004,4665.86,28.45,28.22,29.98,851.25,853.74,186.850006,33.49,0.9805,255,0,13.322,1.96796,4.19,52965,40.564681,-105.073021,1530.0,12,0.048830,0.7
38:55:15,1657360590,2022-07-09T09:56:27,2022-07-09T03:56:30,2.005,4666.86,28.46,28.32,29.97,851.25,853.58,186.100006,33.45,0.9802,255,0,13.322,1.96377,4.19,52987,40.564687,-105.073039,1530.5,12,0.072988,0.7
38:55:45,1657360620,2022-07-09T09:56:57,2022-07-09T03:57:00,2.007,4667.86,28.47,28.38,30.01,851.19,853.42,186.250000,33.48,0.9800,255,0,13.322,1.96301,4.19,53009,40.564685,-105.073009,1536.2,12,0.053970,0.8
38:56:15,1657360650,2022-07-09T09:57:27,2022-07-09T03:57:30,2.007,4668.86,28.49,28.41,30.03,851.30,853.49,185.100006,33.51,0.9800,255,0,13.322,1.96911,4.19,53030,40.564666,-105.072973,1541.3,12,0.038550,0.7
38:56:45,1657360680,2022-07-09T09:57:57,2022-07-09T03:58:00,2.007,4669.87,28.49,28.47,30.04,851.24,853.41,184.800003,33.44,0.9799,255,0,13.325,1.96758,4.19,53050,40.564662,-105.072972,1539.2,12,0.058082,0.7
38:57:15,1657360710,2022-07-09T09:58:27,2022-07-09T03:58:30,2.007,4670.87,28.49,28.54,30.05,851.13,853.28,186.350006,33.43,0.9798,255,0,13.322,1.96720,4.19,53070,40.564655,-105.072969,1532.3,12,0.156256,0.7
38:57:45,1657360740,2022-07-09T09:58:57,2022-07-09T03:59:00,2.007,4671.87,28.49,28.51,30.06,851.22,853.20,183.500000,33.44,0.9797,255,0,13.322,1.96377,4.19,53089,40.564657,-105.072960,1530.7,12,0.115136,0.7
38:58:15,1657360770,2022-07-09T09:59:27,2022-07-09T03:59:30,2.007,4672.88,28.50,28.54,30.03,851.30,853.20,188.600006,33.46,0.9797,255,0,13.325,1.95883,4.19,53108,40.564659,-105.072955,1529.7,12,0.004626,0.7
38:58:45,1657360800,2022-07-09T09:59:57,2022-07-09T04:00:00,2.008,4673.88,28.49,28.53,30.06,851.24,853.12,184.649994,33.46,0.9796,255,0,13.324,1.97102,4.19,53126,40.564674,-105.072975,1527.6,12,0.032896,0.7
38:59:15,1657360830,2022-07-09T10:00:27,2022-07-09T04:00:30,2.007,4674.89,28.49,28.56,30.02,851.22,853.10,186.600006,33.51,0.9796,255,0,13.322,1.96415,4.19,53144,40.564664,-105.072965,1534.6,12,0.060652,0.7
38:59:45,1657360860,2022-07-09T10:00:57,2022-07-09T04:01:00,2.007,4675.89,28.49,28.55,30.02,851.35,853.15,185.250000,33.46,0.9796,255,0,13.324,1.96987,4.19,53161,40.564672,-105.072981,1542.9,12,0.031868,0.7
39:00:15,1657360890,2022-07-09T10:01:27,2022-07-09T04:01:30,2.007,4676.90,28.49,28.48,30.02,851.27,853.15,185.199997,33.57,0.9796,255,0,13.324,1.96606,4.19,53178,40.564683,-105.072979,1546.3,12,0.039578,0.7
39:00:45,1657360920,2022-07-09T10:01:57,2022-07-09T04:02:00,2.007,4677.90,28.49,28.52,30.00,851.30,853.23,186.350006,33.51,0.9797,255,0,13.321,1.96225,4.19,53194,40.564692,-105.072977,1538.7,12,0.043690,0.7
39:01:15,1657360950,2022-07-09T10:02:27,2022-07-09T04:02:30,2.007,4678.90,28.47,28.48,30.05,851.22,853.21,186.350006,33.58,0.9798,255,0,13.322,1.96529,4.19,53210,40.564667,-105.072954,1543.8,12,0.049858,0.8
39:01:45,1657360980,2022-07-09T10:02:57,2022-07-09T04:03:00,2.007,4679.90,28.46,28.44,29.99,851.17,853.21,184.550003,33.52,0.9798,255,0,13.321,1.96529,4.19,53226,40.564656,-105.072943,1540.7,12,0.002570,0.7
39:02:15,1657361010,2022-07-09T10:03:27,2022-07-09T04:03:30,2.007,4680.91,28.46,28.45,30.00,851.19,853.31,183.199997,33.47,0.9799,255,0,13.321,1.96377,4.19,53241,40.564641,-105.072968,1548.1,12,0.020046,0.7
39:02:45,1657361040,2022-07-09T10:03:57,2022-07-09T04:04:00,2.006,4681.91,28.45,28.40,30.00,851.19,853.21,186.149994,33.42,0.9799,255,0,13.320,1.96796,4.19,53255,40.564655,-105.072984,1542.4,12,0.068876,0.7
39:03:15,1657361070,2022-07-09T10:04:27,2022-07-09T04:04:30,2.006,4682.91,28.44,28.35,29.98,851.17,853.24,184.500000,33.42,0.9799,255,0,13.319,1.96187,4.19,53269,40.564653,-105.072977,1537.9,12,0.029298,0.7
39:03:45,1657361100,2022-07-09T10:04:57,2022-07-09T04:05:00,2.005,4683.91,28.43,28.35,29.94,851.17,853.29,183.850006,33.47,0.9800,255,0,13.319,1.96567,4.19,53283,40.564671,-105.072959,1534.6,12,0.011308,0.7
39:04:15,1657361130,2022-07-09T10:05:27,2022-07-09T04:05:30,2.005,4684.91,28.42,28.31,29.96,851.04,853.35,186.850006,33.49,0.9801,255,0,13.319,1.96301,4.19,53296,40.564663,-105.072965,1539.0,12,0.031354,0.7
39:04:45,1657361160,2022-07-09T10:05:57,2022-07-09T04:06:00,2.004,4685.91,28.41,28.29,29.93,851.20,853.38,185.000000,33.53,0.9802,255,0,13.318,1.96415,4.19,53309,40.564660,-105.072983,1544.7,12,0.009766,0.7
39:05:15,1657361190,2022-07-09T10:06:27,2022-07-09T04:06:30,2.004,4686.91,28.40,28.26,29.97,851.20,853.33,183.600006,33.52,0.9802,255,0,13.318,1.96606,4.19,53322,40.564654,-105.072966,1548.2,12,0.035980,0.7
39:05:45,1657361220,2022-07-09T10:06:57,2022-07-09T04:07:00,2.004,4687.91,28.40,28.23,29.97,851.09,853.51,184.850006,33.56,0.9804,255,0,13.317,1.96720,4.19,53334,40.564670,-105.072947,1537.7,12,0.119248,0.7
39:06:15,1657361250,2022-07-09T10:07:27,2022-07-09T04:07:30,2.003,4688.90,28.39,28.19,29.91,851.15,853.51,185.449997,33.71,0.9804,255,0,13.316,1.96491,4.19,53345,40.564679,-105.072965,1534.6,12,0.006682,0.7
39:06:45,1657361280,2022-07-09T10:07:57,2022-07-09T04:08:00,2.003,4689.90,28.37,28.14,29.91,851.15,853.49,185.949997,33.62,0.9804,255,0,13.316,1.96149,4.19,53357,40.564686,-105.072993,1534.1,12,0.046260,0.7
39:07:15,1657361310,2022-07-09T10:08:27,2022-07-09T04:08:30,2.003,4690.90,28.36,28.11,29.93,851.19,853.52,184.399994,33.81,0.9805,255,0,13.316,1.96339,4.19,53368,40.564676,-105.072986,1541.8,12,0.054484,0.7
39:07:45,1657361340,2022-07-09T10:08:57,2022-07-09T04:09:00,2.002,4691.89,28.35,28.09,29.89,851.27,853.57,185.500000,33.57,0.9806,255,0,13.315,1.96149,4.19,53379,40.564690,-105.072991,1534.2,12,0.037522,0.7
39:08:15,1657361370,2022-07-09T10:09:27,2022-07-09T04:09:30,2.002,4692.89,28.33,28.04,29.85,851.19,853.60,184.199997,33.68,0.9807,255,0,13.314,1.96111,4.19,53389,40.564689,-105.072986,1527.2,12,0.033924,0.7
39:08:45,1657361400,2022-07-09T10:09:57,2022-07-09T04:10:00,2.001,4693.89,28.32,28.03,29.90,851.16,853.71,183.350006,33.73,0.9808,255,0,13.315,1.96225,4.19,53399,40.564675,-105.072991,1533.0,12,0.036494,0.7
39:09:15,1657361430,2022-07-09T10:10:27,2022-07-09T04:10:30,2.001,4694.88,28.31,27.99,29.82,851.33,853.71,185.750000,33.80,0.9809,255,0,13.313,1.96149,4.19,53409,40.564666,-105.072995,1539.0,12,0.019018,0.7
39:09:45,1657361460,2022-07-09T10:10:57,2022-07-09T04:11:00,2.001,4695.88,28.29,27.91,29.83,851.25,853.72,183.699997,33.83,0.9809,255,0,13.313,1.96491,4.19,53419,40.564693,-105.073008,1535.8,12,0.039064,0.7
39:10:15,1657361490,2022-07-09T10:11:27,2022-07-09T04:11:30,2.000,4696.88,28.28,27.92,29.82,851.12,853.85,184.149994,33.93,0.9811,255,0,13.312,1.95769,4.19,53428,40.564698,-105.073041,1530.1,12,0.083782,0.7
39:10:45,1657361520,2022-07-09T10:11:57,2022-07-09T04:12:00,1.999,4697.87,28.26,27.85,29.80,851.12,853.80,184.750000,33.98,0.9811,255,0,13.312,1.96339,4.19,53437,40.564698,-105.073021,1533.1,12,0.043176,0.7
39:11:15,1657361550,2022-07-09T10:12:27,2022-07-09T04:12:30,1.999,4698.87,28.23,27.83,29.82,851.32,853.75,182.800003,33.91,0.9812,255,0,13.312,1.96339,4.19,53446,40.564705,-105.073020,1533.2,12,0.040606,0.7
39:11:45,1657361580,2022-07-09T10:12:57,2022-07-09T04:13:00,1.999,4699.86,28.22,27.78,29.77,851.07,853.91,182.750000,33.98,0.9814,255,0,13.310,1.96377,4.19,53454,40.564710,-105.073034,1529.7,12,0.024672,0.7
39:12:15,1657361610,2022-07-09T10:13:27,2022-07-09T04:13:30,1.998,4700.86,28.20,27.79,29.72,851.27,853.97,185.449997,33.98,0.9815,255,0,13.309,1.95921,4.19,53463,40.564705,-105.073016,1534.0,12,0.078642,0.7
39:12:45,1657361640,2022-07-09T10:13:57,2022-07-09T04:14:00,1.998,4701.86,28.18,27.73,29.70,851.19,853.87,184.399994,34.10,0.9815,255,0,13.308,1.96225,4.19,53471,40.564683,-105.073014,1534.1,12,0.071960,0.7
39:13:15,1657361670,2022-07-09T10:14:27,2022-07-09T04:14:30,1.997,4702.85,28.17,27.68,29.73,851.11,853.93,186.449997,34.18,0.9816,255,0,13.307,1.96301,4.19,53479,40.564687,-105.073005,1533.0,12,0.034952,0.7
39:13:45,1657361700,2022-07-09T10:14:57,2022-07-09T04:15:00,1.997,4703.85,28.15,27.64,29.71,851.17,853.90,187.050003,34.19,0.9816,255,0,13.308,1.95845,4.19,53486,40.564691,-105.072991,1536.6,12,0.024158,0.7
39:14:15,1657361730,2022-07-09T10:15:27,2022-07-09T04:15:30,1.996,4704.84,28.15,27.60,29.68,851.22,854.09,183.149994,34.17,0.9818,255,0,13.308,1.95579,4.19,53493,40.564675,-105.072964,1539.3,12,0.067334,0.7
39:14:45,1657361760,2022-07-09T10:15:57,2022-07-09T04:16:00,1.996,4705.84,28.11,27.59,29.66,851.31,854.09,184.100006,34.19,0.9820,255,0,13.308,1.95845,4.19,53501,40.564668,-105.072983,1534.7,12,0.050886,0.7
39:15:15,1657361790,2022-07-09T10:16:27,2022-07-09T04:16:30,1.996,4706.84,28.11,27.54,29.66,851.36,854.09,184.800003,34.18,0.9820,255,0,13.306,1.95959,4.19,53507,40.564678,-105.073000,1532.5,12,0.033924,0.7
39:15:45,1657361820,2022-07-09T10:16:57,2022-07-09T04:17:00,1.996,4707.83,28.10,27.53,29.66,851.31,854.05,182.100006,34.28,0.9819,255,0,13.305,1.96073,4.19,53514,40.564704,-105.072995,1527.9,12,0.125416,0.7
39:16:15,1657361850,2022-07-09T10:17:27,2022-07-09T04:17:30,1.994,4708.83,28.08,27.51,29.67,851.18,854.07,185.100006,34.19,0.9820,255,0,13.306,1.95693,4.19,53521,40.564677,-105.072984,1527.7,12,0.222562,0.7
39:16:45,1657361880,2022-07-09T10:17:57,2022-07-09T04:18:00,1.994,4709.82,28.05,27.50,29.63,851.27,854.05,184.649994,34.25,0.9821,255,0,13.305,1.96035,4.19,53527,40.564668,-105.072994,1522.3,12,0.039578,0.7
39:17:15,1657361910,2022-07-09T10:18:27,2022-07-09T04:18:30,1.994,4710.82,28.04,27.44,29.58,851.40,854.16,182.750000,34.30,0.9823,255,0,13.305,1.96187,4.19,53533,40.564654,-105.073002,1526.0,12,0.126958,0.7
39:17:45,1657361940,2022-07-09T10:18:57,2022-07-09T04:19:00,1.993,4711.82,28.01,27.42,29.58,851.22,854.22,184.149994,34.34,0.9824,255,0,13.304,1.95807,4.19,53539,40.564663,-105.073006,1529.0,12,0.030326,0.7
39:18:15,1657361970,2022-07-09T10:19:27,2022-07-09T04:19:30,1.993,4712.81,28.01,27.39,29.58,851.35,854.22,181.850006,34.38,0.9824,255,0,13.304,1.95845,4.19,53545,40.564653,-105.072982,1532.4,12,0.153686,0.7
39:18:45,1657362000,2022-07-09T10:19:57,2022-07-09T04:20:00,1.993,4713.81,27.99,27.36,29.55,851.30,854.22,182.899994,34.31,0.9825,255,0,13.304,1.95769,4.19,53550,40.564678,-105.072986,1532.9,12,0.089436,0.7
39:19:15,1657362030,2022-07-09T10:20:27,2022-07-09T04:20:30,1.993,4714.81,27.97,27.34,29.54,851.28,854.22,184.000000,34.50,0.9826,255,0,13.303,1.96035,4.19,53556,40.564741,-105.073003,1533.0,12,0.048830,0.8
39:19:45,1657362060,2022-07-09T10:20:57,2022-07-09T04:21:00,1.992,4715.80,27.96,27.31,29.53,851.39,854.20,184.250000,34.46,0.9826,255,0,13.304,1.96149,4.19,53561,40.564768,-105.073013,1533.6,12,0.414284,0.7
39:20:15,1657362090,2022-07-09T10:21:27,2022-07-09T04:21:30,1.992,4716.80,27.94,27.28,29.50,851.39,854.24,184.000000,34.56,0.9827,255,0,13.303,1.95693,4.19,53566,40.564717,-105.073007,1526.5,12,0.181956,0.7
39:20:45,1657362120,2022-07-09T10:21:57,2022-07-09T04:22:00,1.992,4717.79,27.93,27.24,29.45,851.29,854.34,185.199997,34.56,0.9828,255,0,13.302,1.95125,4.19,53571,40.564677,-105.072969,1529.3,12,0.127472,0.7
39:21:15,1657362150,2022-07-09T10:22:27,2022-07-09T04:22:30,1.991,4718.79,27.91,27.23,29.49,851.34,854.29,182.899994,34.60,0.9828,255,0,13.297,1.96035,4.15,53568,40.564681,-105.072965,1528.8,12,0.089436,0.7
39:21:45,1657362180,2022-07-09T10:22:57,2022-07-09T04:23:00,1.991,4719.79,27.90,27.09,29.49,851.38,854.51,184.750000,34.64,0.9831,255,0,13.295,1.95542,4.15,53555,40.564682,-105.072987,1528.4,12,0.011822,0.8
39:22:15,1657362210,2022-07-09T10:23:27,2022-07-09T04:23:30,1.990,4720.78,27.89,26.94,29.43,851.32,854.82,182.149994,34.71,0.9835,254,0,13.293,1.95579,4.15,53543,40.564717,-105.073009,1524.8,12,0.081212,0.8
39:22:45,1657362240,2022-07-09T10:23:57,2022-07-09T04:24:00,1.993,4721.78,27.86,26.81,29.40,851.33,854.91,183.850006,34.75,0.9837,254,0,13.315,1.96225,4.14,53531,40.564695,-105.072973,1524.2,12,0.378304,0.9
39:23:15,1657362270,2022-07-09T10:24:27,2022-07-09T04:24:30,1.992,4722.77,27.84,26.72,29.41,851.41,855.07,184.399994,34.81,0.9840,254,0,13.313,1.96187,4.14,53519,40.564685,-105.072962,1522.1,12,0.109482,0.9
39:23:45,1657362300,2022-07-09T10:24:57,2022-07-09T04:25:00,1.990,4723.77,27.81,26.62,29.40,851.33,855.13,182.100006,34.83,0.9841,254,0,13.312,1.95769,4.14,53507,40.564708,-105.072984,1527.0,12,0.391154,0.9
39:24:15,1657362330,2022-07-09T10:25:27,2022-07-09T04:25:30,1.990,4724.77,27.79,26.54,29.34,851.47,855.18,182.800003,34.96,0.9842,254,0,13.309,1.95769,4.14,53495,40.564710,-105.073001,1529.6,12,0.023644,0.9
39:24:45,1657362360,2022-07-09T10:25:57,2022-07-09T04:26:00,1.989,4725.76,27.77,26.47,29.33,851.48,855.29,184.399994,34.99,0.9844,253,0,13.308,1.95428,4.14,53483,40.564727,-105.073055,1525.8,11,0.069904,0.9
39:25:15,1657362390,2022-07-09T10:26:27,2022-07-09T04:26:30,1.994,4726.76,27.74,26.38,29.30,851.38,855.35,185.350006,35.05,0.9846,253,0,13.330,1.95807,4.14,53470,40.564750,-105.073081,1526.2,12,0.069390,0.8
39:25:45,1657362420,2022-07-09T10:26:57,2022-07-09T04:27:00,1.993,4727.75,27.72,26.35,29.29,851.41,855.35,185.100006,35.07,0.9847,253,0,13.329,1.96111,4.14,53458,40.564810,-105.073019,1528.2,12,0.181956,0.9
39:26:15,1657362450,2022-07-09T10:27:27,2022-07-09T04:27:30,1.991,4728.75,27.70,26.27,29.29,851.38,855.49,185.500000,35.08,0.9849,253,0,13.328,1.96149,4.13,53446,40.564798,-105.072993,1528.2,12,0.012336,0.8
39:26:45,1657362480,2022-07-09T10:27:57,2022-07-09T04:28:00,1.991,4729.75,27.68,26.21,29.23,851.41,855.47,188.000000,35.16,0.9849,253,0,13.329,1.95921,4.13,53434,40.564739,-105.072991,1529.6,12,0.257000,0.8
39:27:15,1657362510,2022-07-09T10:28:27,2022-07-09T04:28:30,1.990,4730.74,27.67,26.16,29.19,851.52,855.52,184.199997,35.20,0.9850,253,0,13.327,1.96377,4.13,53422,40.564712,-105.072995,1527.1,12,0.068876,0.9
39:27:45,1657362540,2022-07-09T10:28:57,2022-07-09T04:29:00,1.990,4731.74,27.64,26.10,29.17,851.47,855.58,183.399994,35.17,0.9852,252,0,13.327,1.95693,4.13,53409,40.564697,-105.072976,1532.7,12,0.062708,0.8
39:28:15,1657362570,2022-07-09T10:29:27,2022-07-09T04:29:30,1.994,4732.73,27.59,26.06,29.16,851.32,855.54,185.199997,35.45,0.9853,252,0,13.348,1.96187,4.13,53397,40.564742,-105.072964,1532.0,12,0.159854,0.8
39:28:45,1657362600,2022-07-09T10:29:57,2022-07-09T04:30:00,1.993,4733.73,27.58,26.06,29.14,851.51,855.65,186.300003,35.69,0.9854,252,0,13.347,1.97025,4.13,53385,40.564750,-105.072973,1532.6,12,0.019532,0.8
39:29:15,1657362630,2022-07-09T10:30:27,2022-07-09T04:30:30,1.993,4734.73,27.55,25.98,29.16,851.38,855.68,184.699997,35.67,0.9856,252,0,13.347,1.96187,4.13,53373,40.564753,-105.072927,1537.7,11,0.080698,1.0
39:29:45,1657362660,2022-07-09T10:30:57,2022-07-09T04:31:00,1.992,4735.72,27.54,25.97,29.08,851.52,855.76,185.800003,35.73,0.9857,252,0,13.346,1.96225,4.13,53361,40.564735,-105.072947,1536.3,11,0.160882,1.0
39:30:15,1657362690,2022-07-09T10:31:27,2022-07-09T04:31:30,1.991,4736.72,27.51,25.92,29.08,851.60,855.74,185.350006,35.94,0.9857,252,0,13.346,1.96301,4.13,53348,40.564712,-105.072911,1537.8,10,0.166536,1.1
39:30:45,1657362720,2022-07-09T10:31:57,2022-07-09T04:32:00,1.991,4737.72,27.47,25.88,29.06,851.42,855.66,183.850006,36.16,0.9858,252,0,13.347,1.95959,4.13,53336,40.564722,-105.072918,1537.0,10,0.125930,1.0
39:31:15,1657362750,2022-07-09T10:32:27,2022-07-09T04:32:30,1.991,4738.71,27.45,25.87,29.01,851.48,855.72,184.800003,36.30,0.9859,252,0,13.346,1.96606,4.12,53324,40.564724,-105.072949,1535.6,11,0.052428,1.0
39:31:45,1657362780,2022-07-09T10:32:57,2022-07-09T04:33:00,1.990,4739.71,27.44,25.82,29.01,851.48,855.78,183.350006,36.54,0.9859,252,0,13.344,1.96491,4.12,53312,40.564687,-105.072960,1528.7,10,0.012336,1.0
39:32:15,1657362810,2022-07-09T10:33:27,2022-07-09T04:33:30,1.990,4740.70,27.41,25.78,28.98,851.49,855.84,183.250000,36.79,0.9861,252,0,13.343,1.96720,4.12,53299,40.564700,-105.072955,1529.6,11,0.038550,0.9
39:32:45,1657362840,2022-07-09T10:33:57,2022-07-09T04:34:00,1.990,4741.70,27.39,25.74,28.94,851.60,855.79,183.800003,36.72,0.9861,252,0,13.344,1.96529,4.12,53287,40.564718,-105.072939,1536.9,12,0.046260,0.9
39:33:15,1657362870,2022-07-09T10:34:27,2022-07-09T04:34:30,1.989,4742.70,27.35,25.74,28.94,851.58,855.92,186.699997,36.49,0.9864,251,0,13.342,1.96225,4.12,53275,40.564703,-105.072950,1531.9,11,0.066306,1.0
39:33:45,1657362900,2022-07-09T10:34:57,2022-07-09T04:35:00,1.994,4743.69,27.34,25.70,28.92,851.58,855.77,184.449997,36.50,0.9863,251,0,13.366,1.96834,4.12,53263,40.564664,-105.072953,1538.9,12,0.390126,0.8
39:34:15,1657362930,2022-07-09T10:35:27,2022-07-09T04:35:30,1.993,4744.69,27.32,25.65,28.91,851.72,855.88,184.050003,36.62,0.9865,251,0,13.366,1.96873,4.12,53250,40.564701,-105.072991,1535.0,12,0.174760,0.8
39:34:45,1657362960,2022-07-09T10:35:57,2022-07-09T04:36:00,1.992,4745.68,27.29,25.65,28.90,851.45,855.94,185.000000,36.41,0.9867,251,0,13.365,1.97064,4.12,53238,40.564716,-105.073002,1533.5,12,0.129528,0.8
