(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
0:07:15,1657220910,2022-07-07T19:08:30,2022-07-07T13:08:30,2.008,14.60,35.74,35.36,37.18,848.94,850.91,177.800003,26.64,0.9530,284,0,12.795,1.91351,4.19,53459,40.564738,-105.073072,1520.5,12,0.059110,0.7
0:07:45,1657220940,2022-07-07T19:09:00,2022-07-07T13:09:00,2.009,15.61,35.78,35.41,37.23,848.95,850.95,179.050003,26.69,0.9529,284,0,12.795,1.91055,4.19,53465,40.564744,-105.073067,1524.6,12,0.024158,0.7
0:08:15,1657220970,2022-07-07T19:09:30,2022-07-07T13:09:30,2.009,16.61,35.80,35.38,37.24,848.92,850.95,177.699997,25.82,0.9531,284,0,12.795,1.91129,4.19,53471,40.564755,-105.073094,1524.3,12,0.010280,0.7
0:08:45,1657221000,2022-07-07T19:10:00,2022-07-07T13:10:00,2.008,17.62,35.82,35.39,37.27,848.87,850.95,179.000000,25.13,0.9532,284,0,12.795,1.91129,4.19,53477,40.564748,-105.073064,1524.8,12,0.028784,0.7
0:09:15,1657221030,2022-07-07T19:10:30,2022-07-07T13:10:30,2.008,18.62,35.85,35.42,37.31,849.00,850.99,177.050003,25.25,0.9531,284,0,12.796,1.91387,4.19,53482,40.564748,-105.073029,1526.0,12,0.128500,0.7
0:09:45,1657221060,2022-07-07T19:11:00,2022-07-07T13:11:00,2.008,19.62,35.87,35.43,37.35,849.02,850.99,178.600006,25.64,0.9529,284,0,12.795,1.91129,4.19,53487,40.564751,-105.073027,1525.5,12,0.144948,0.7
0:10:15,1657221090,2022-07-07T19:11:30,2022-07-07T13:11:30,2.008,20.63,35.88,35.42,37.35,849.02,851.04,179.050003,25.33,0.9530,284,0,12.796,1.91425,4.19,53493,40.564740,-105.073018,1526.2,12,0.353632,0.8
0:10:45,1657221120,2022-07-07T19:12:00,2022-07-07T13:12:00,2.008,21.63,35.89,35.45,37.35,848.99,851.09,181.350006,25.30,0.9530,284,0,12.795,1.91721,4.19,53498,40.564720,-105.073024,1529.7,12,0.125930,0.7
0:11:15,1657221150,2022-07-07T19:12:30,2022-07-07T13:12:30,2.008,22.64,35.90,35.43,37.33,849.02,851.20,176.850006,25.52,0.9531,284,0,12.793,1.91795,4.16,53500,40.564721,-105.073028,1531.4,12,0.007196,0.7
0:11:45,1657221180,2022-07-07T19:13:00,2022-07-07T13:13:00,2.009,23.64,35.91,35.36,37.37,849.07,851.17,181.300003,25.45,0.9530,284,0,12.791,1.91535,4.15,53488,40.564709,-105.073027,1530.7,12,0.024672,0.7
0:12:15,1657221210,2022-07-07T19:13:30,2022-07-07T13:13:30,2.008,24.64,35.90,35.21,37.39,849.07,851.38,177.000000,25.53,0.9533,284,0,12.787,1.91498,4.15,53475,40.564715,-105.073026,1528.5,12,0.131070,0.7
0:12:45,1657221240,2022-07-07T19:14:00,2022-07-07T13:14:00,2.007,25.65,35.90,35.14,37.40,849.18,851.62,179.300003,25.65,0.9535,284,0,12.785,1.91425,4.15,53463,40.564731,-105.073024,1528.6,12,0.038036,0.8
0:13:15,1657221270,2022-07-07T19:14:30,2022-07-07T13:14:30,2.006,26.65,35.89,35.05,37.40,849.21,851.71,178.800003,25.50,0.9537,284,0,12.785,1.91055,4.15,53451,40.564740,-105.073049,1528.3,12,0.002056,0.7
0:13:45,1657221300,2022-07-07T19:15:00,2022-07-07T13:15:00,2.006,27.65,35.88,34.95,37.35,849.32,851.95,176.750000,25.72,0.9539,284,0,12.784,1.91425,4.15,53439,40.564741,-105.073048,1525.8,12,0.109482,0.8
0:14:15,1657221330,2022-07-07T19:15:30,2022-07-07T13:15:30,2.004,28.66,35.87,34.91,37.35,849.30,852.08,174.699997,24.77,0.9544,284,0,12.783,1.91498,4.15,53427,40.564730,-105.073060,1527.2,12,0.099202,0.7
0:14:45,1657221360,2022-07-07T19:16:00,2022-07-07T13:16:00,2.003,29.66,35.85,34.82,37.37,849.35,852.06,177.600006,24.15,0.9546,284,0,12.783,1.91240,4.14,53415,40.564705,-105.073052,1526.0,12,0.137238,0.8
0:15:15,1657221390,2022-07-07T19:16:30,2022-07-07T13:16:30,2.000,30.66,35.83,34.75,37.33,849.28,852.12,174.600006,22.97,0.9550,284,0,12.781,1.90908,4.14,53403,40.564700,-105.073053,1525.8,12,0.029812,0.9
0:15:45,1657221420,2022-07-07T19:17:00,2022-07-07T13:17:00,1.998,31.66,35.80,34.70,37.31,849.31,852.20,176.600006,21.91,0.9554,284,0,12.781,1.91092,4.14,53391,40.564714,-105.073050,1526.5,12,0.045746,0.7
